genename	celltype1	celltype2	celltype3
SLC44A5	FPP_11	PFPP11	
SLIT1	FPP_11	PFPP11	
SMIM19	FPP_11	PFPP11	
SNRPC	FPP_11	PFPP11	
SOX8	FPP_11	PFPP11	
SPATA20	FPP_11	PFPP11	
SPATA45	FPP_11	PFPP11	
SPECC1	FPP_11	PFPP11	
SPINT2	FPP_11	PFPP11	
SPSB2	FPP_11	PFPP11	
SREBF1	FPP_11	PFPP11	
SREK1IP1	FPP_11	PFPP11	
SRSF10	FPP_11	PFPP11	
STAU1	FPP_11	PFPP11	
STC2	FPP_11	PFPP11	
STK39	FPP_11	PFPP11	
STMP1	FPP_11	PFPP11	
STN1	FPP_11	PFPP11	
STRA6	FPP_11	PFPP11	
STYXL1	FPP_11	PFPP11	
SULF2	FPP_11	PFPP11	
SURF6	FPP_11	PFPP11	
SYCE1L	FPP_11	PFPP11	
SYT3	FPP_11	PFPP11	
TADA2B	FPP_11	PFPP11	
TAF1B	FPP_11	PFPP11	
TAGLN3	FPP_11	PFPP11	
TAMM41	FPP_11	PFPP11	
TBC1D7	FPP_11	PFPP11	
TBCA	FPP_11	PFPP11	
TC2N	FPP_11	PFPP11	
TCEA1	FPP_11	PFPP11	
TCEA3	FPP_11	PFPP11	
TCTN3	FPP_11	PFPP11	
THNSL2	FPP_11	PFPP11	
THOC3	FPP_11	PFPP11	
TIMELESS	FPP_11	PFPP11	
TLCD5	FPP_11	PFPP11	
TLK1	FPP_11	PFPP11	
TMA16	FPP_11	PFPP11	
TMC5	FPP_11	PFPP11	
TMEM121	FPP_11	PFPP11	
TMEM159	FPP_11	PFPP11	
TMEM18	FPP_11	PFPP11	
TMEM230	FPP_11	PFPP11	
TMEM38B	FPP_11	PFPP11	
TMPRSS13	FPP_11	PFPP11	
TNKS2	FPP_11	PFPP11	
TNRC18	FPP_11	PFPP11	
TOP1MT	FPP_11	PFPP11	
TOR3A	FPP_11	PFPP11	
TPGS2	FPP_11	PFPP11	
TPPP	FPP_11	PFPP11	
TPRKB	FPP_11	PFPP11	
TRAF3IP2	FPP_11	PFPP11	
TRAPPC2L	FPP_11	PFPP11	
TRAPPC4	FPP_11	PFPP11	
TRIM23	FPP_11	PFPP11	
TRIM8	FPP_11	PFPP11	
TSPAN15	FPP_11	PFPP11	
TSTD1	FPP_11	PFPP11	
TTC12	FPP_11	PFPP11	
TTC30B	FPP_11	PFPP11	
TTC32	FPP_11	PFPP11	
TWF2	FPP_11	PFPP11	
UBA6	FPP_11	PFPP11	
UBE3B	FPP_11	PFPP11	
UBR7	FPP_11	PFPP11	
UNC50	FPP_11	PFPP11	
UPK3BL1	FPP_11	PFPP11	
UROS	FPP_11	PFPP11	
VAMP1	FPP_11	PFPP11	
VAMP4	FPP_11	PFPP11	
VCPIP1	FPP_11	PFPP11	
WFDC3	FPP_11	PFPP11	
WNT3	FPP_11	PFPP11	
XKR9	FPP_11	PFPP11	
XRRA1	FPP_11	PFPP11	
ZBBX	FPP_11	PFPP11	
ZC3H12D	FPP_11	PFPP11	
ZC3HAV1	FPP_11	PFPP11	
ZFP57	FPP_11	PFPP11	
ZFP62	FPP_11	PFPP11	
ZMYND11	FPP_11	PFPP11	
ZNF224	FPP_11	PFPP11	
ZNF239	FPP_11	PFPP11	
ZNF253	FPP_11	PFPP11	
ZNF37A	FPP_11	PFPP11	
ZNF391	FPP_11	PFPP11	
ZNF443	FPP_11	PFPP11	
ZNF516	FPP_11	PFPP11	
ZNF544	FPP_11	PFPP11	
ZNF578	FPP_11	PFPP11	
ZNF584	FPP_11	PFPP11	
ZNF587	FPP_11	PFPP11	
ZNF593	FPP_11	PFPP11	
ZNF605	FPP_11	PFPP11	
ZNF717	FPP_11	PFPP11	
ZNF738	FPP_11	PFPP11	
ZNF781	FPP_11	PFPP11	
ZNRD1	FPP_11	PFPP11	
ZSWIM7	FPP_11	PFPP11	
AACS	PFPP11		
AAMP	PFPP11		
ABAT	PFPP11		
ABCB4	PFPP11		
ABHD1	PFPP11		
ABHD10	PFPP11		
ABHD17B	PFPP11		
